index,weibo_id,comment_text,gender,location,like,date,label,category,target
0,J1zF7smOR,她们不结婚不要孩子，却觉得我们这种结婚有孩子的是婚驴,女,广东,14,12/05/2020 15:04,1,SCB,G
1,GvXf0ymdJ,妈的什么时候有人来性侵我一下啊  不要封口费的那种,男,其他,36,23/08/2018 13:10,1,SO,I
2,J2XeR8rPn,我觉得这就是对一类人所有的特点进行形容吧，“爹味”也是贬义词，为什么不觉得有性别歧视意味呢？,女,浙江,0,21/05/2020 16:12,1,MA,G
3,IxpfTCMAo,姐姐你不要急，关注久的都知道她骂的一切归根结底都是渴婚的，她并不骂学艺术的，她骂的是不肯像培养儿子一样培养女儿，给女儿学跳舞弹琴之类想给女儿加码卖更好价钱的，她并不是骂艺术，而是目的性的学，并且是恶心目的，如果没有这个想法有啥好气的啊？而且明明骂男人更毒更厉害，都涉及人身攻击了呀,女,江苏,1,31/03/2020 13:57,1,MA,I
4,J4B0Mps5Q,"给他们争取权利的不是女权是腐女，你该不会说腐女都女权吧？连女同性恋都不是全部女权，腐女？,男同性恋好吗？女同性恋在你眼里又隐身了",女,其他,0,##########,1,MA,G
5,Iv3BGpYYh,此类人虽说我平时少见，但今天这位一谈feminist就女拳的同学还是令我想隔着屏幕对他重拳出击,女,广东,0,20/02/2020 13:33,1,MA,G
6,I0lrrwYk1,人夫妻相处之道我们也不知道，可能就抓拍了这一小段有什么原因也不一定，看着是不好看，不过上升到人身攻击批评就过头了。抠字眼估计是因为现在微博太多那种文章，就家务平摊，男生说帮女生忙是不对的，因为家务是两个人一起分担的。。而不是你来帮我。。估计这种文章太多,女,广东,0,03/08/2019 11:34,1,SCB,G
7,Fq0uZhLsx,你拉鸡八倒吧，法律还说人人平等呢   ， 现实 真的 人人平等了吗？ 真是 搞笑的很。  现实什么样， 你看不到 还是你装作看不到？,女,湖北,3,12/10/2017 11:48,1,MA,I
8,GCna42DUe,说了这么多你不就是在用metoo一个特例来给你骡子洗白么 还顺便把metoo骂得这么狗屁不是 就算人报道不准确 任何运动的发起都有两面性 就算被当作工具 也有积极的效益 我看你这这一通乱喷 真的搞笑 你以为没有metoo被QJ的人就没人出来说话了？,男,海外,0,06/10/2018 21:44,1,MA,I
9,IAifa6B01,WA话说的没错啊…当年颁奖季🍵就是站在metoo这边的,女,北京,9,25/03/2020 23:29,1,MA,G
10,H870uCZJN,谢谢您的祝福，感谢男人们拼杀各种“战场”卫国保家，我不想当花木兰，只想当小女人。,女,海外,0,20/12/2018 16:59,1,SCB,I
11,FbqAJu34X,看到你这逻辑也是醉，所以你是觉得该一辈子活在社会人文的关怀下才？这跟残疾人受社会关怀有什么区别？所谓男女平等，就是让男女在社会上的机会和对待平等，所以你是觉得不应该惩罚罪犯而是应该把受害者关起来？说实话你这种才是男权的附属品谢谢,女,广东,4,09/07/2017 10:00,1,MA,I
12,IhRGQBlwT,太对了，当我开始给我前男友讲道理的时候他要不胡搅蛮缠各种毫无逻辑的反驳你，要不就说受不了别人发长篇大论的短信给他，到最后更牛皮直接承认说“我可以跟你讲道理（反驳你打压你），但我（你）不想（能）听你（划掉）跟我讲道理”。,女,其他,9,07/12/2019 14:30,1,MA,I
13,H4ZnYloq8,"我的理解还是这是一种平等之下的合理差异吧 法律有局限性 这是不可否认的 现在的社会我认为确实男权社会 法律也不能跳出这个圈子 所以必须对可能处于弱势地位女性一些特殊保护,保护男性被qj法律还是有的 只不过保护的力度没有保护妇女的力度要大（仅从立法角度来说，实践中执行的可能不好）",男,安徽,0,30/11/2018 05:52,1,SCB,G
14,J6ho9pevX,啥女权不女权的，实际上像我这种女性特征不明显的女性，非常容易和男生交流，就不可能谈得上仇男，这才是平等。,女,其他,0,13/06/2020 00:54,1,SCB,G
15,FF6XeAi5p,重点:1.metoo是为了保护其他被性侵女性，不是为了攻击男性；2.阿萨里不是性侵者，他只是实施了让人不舒服的性行为；3.metoo从不认为qj、性侵和不舒服的性行为是等同的；4.女性有权公开讨论不舒服的性行为；5.公开讨论不是为了毁掉男性；6.男性如果在嘿咻时不懂尊重女性，就找五指姑娘吧,女,北京,1,20/01/2018 00:44,1,MA,G
16,J5oEXarp7,给普京点赞！孩子只有爸爸妈妈，婚姻是一男一女的事。也给我国点赞，我们的婚姻法捍卫中华民族的公序良俗，也是婚姻只在一男一女之间。,男,北京,1,08/06/2020 16:40,1,SCB,G
17,GqEAOjwtO,有人说韩国的女权太难，其实哪里的女权都难，有些想法早已经根深蒂固，然后生理的原因也限制了女性，有人说女性在家庭中地位很高，事实上主要有性别之分女性总是会被照顾谦让的那个，但是当不被特殊照顾平等对待，女性又会反过来控诉对方自己是女生需要被照顾。这个问题要解决并不简单。,女,四川,0,19/07/2018 19:55,1,SCB,G
18,IczHYxC8G,我老公第4种，本来我想当巨婴不知咋的就活成了老妈子，他就把我当妈退行到撒娇，要不就甩手掌柜啥也不管，我要跟他干仗他也不敢攻击我。,女,山东,0,22/10/2019 07:26,1,MA,I
19,Icoc9ifRn,"女性的解放，一定是人的解放，同时是男性的解放。这是建立很个人主义的前提之下，消解权威，追求多元，回归到人本身，尊重个体差异和个体选择。,以及，像戴锦华老师说的那样，现代女性主义还是罩着男权的面纱，文化上仍然面临着花木兰式的境遇，仍然是内在逻辑的置换，而非另一种逻辑。我们寄希望于女性的生命经验所累积的历史，能够成为另外一种资源，成为面对由男性主导的现代文明的一种完全不同的力量，以便为我们打开可能性。",女,海外,2,20/10/2019 18:47,1,SCB,G
20,ID26le0w3,“是男性将自己的摧毁包装成爱，为洛丽塔的命运定下悲剧的基调。”,女,湖北,6,12/04/2020 23:26,1,MA,G
21,I2Dve9JCS,即便你长得非常非常漂亮，身材非常非常好，失足也是很难还的上巨额赌债的。,女,其他,0,17/08/2019 19:06,1,SA,I
22,GvXf0ymdJ,啥性侵啊，她钱他愿的，结果钱少付了，就变成性侵了，哈哈😄,女,辽宁,0,17/09/2018 08:13,1,SCB,I
23,Ga3pi0s8T,田园女权到底啥意思...btw，其实只要自己不被洗脑，活的比谁都好就是真女权。把自己活得精彩，让男人汗颜。,女,北京,0,20/06/2018 11:44,1,MA,G
24,GE0gM7HlU,只要问题不得到有效遏制 metoo类型的活动就会隔段时间来一次 因而每次都会出现少量被冤枉的男性  怎么就不明白呢,女,安徽,7,15/10/2018 11:09,1,MA,G
25,J2XeR8rPn,为什么男的可以叫大叔，女的就不能叫阿姨呢？网上粉丝巨多且自称或被形容为姨的男性大V有和菜头、刘仲敬、魅惑蓝心，哪里看出来有侮辱的意思呢,男,广东,1,21/05/2020 16:59,1,MA,G
26,J1tT1oCjS,生孩自由和平权站的角度本来就不同，平权要求的是社会地位、工作机会平等，生孩子是自己家里的事，生不生孩子完全是你自己家里说了算。再说生孩子就是对女性的压榨吗？夫妻携手建立家庭，养育孩子，孝敬父母，这不该是正常人追求的吗？,男,山西,0,01/06/2020 16:47,1,SCB,G
27,GjHGrjy2J,然而这只是一个分化阶级内部的好方式而已。所以无产阶级早就说了一律平等。而资产阶级却发展出各种黑白黄赤男女lgbtqqiaa权利。说白了这一套在分化阶级矛盾上是很厉害的。,男,海外,0,04/06/2018 00:33,1,MA,G
28,Hx3CC89Y9,"那也是和社会多数保守派有仇啊，特指女性有点偏坡,既然没有既得利益那自然不会有什么同性恋支持女权运动，但仇也说不上吧。,90的gay是仇女？不是带节奏？两性矛盾源自于早期社会生产力性别不对等造成的，既然都进入现代社会了，女性在脑力劳动方面丝毫不比男性弱，生产力决定生产关系，女性在社会的生产力上地位逐渐突出，但历史上男性地位一直主导，所以才会出现些许矛盾，这种矛盾可以说很大也可以说很小，小编固然弱智。,带两性矛盾的节奏和你⌚️的cherry中国行为如出一辙，带仇男的节奏同时遭来男性的嘴臭，这不是恶性循环吗？不缓和解决矛盾，天天隔着带节奏？",男,广东,0,02/06/2019 18:31,1,MA,G
29,J1As29WOG,“极端”的声音更容易被听到吧，毕竟要面对的男权太擅长为了自己的利益装傻充愣。,女,其他,1,30/05/2020 08:47,1,MA,G
30,J2ppapTIa,我最近也在看豆瓣，发现豆瓣的姐妹都蛮清醒的。女权话题一直在鹅组都有讨论，并且也不是负面，组规还禁止“田园女权”的言辞。豆瓣男的也都一副假装小清新的嘴脸，最少没那么多骂娘的了,女,湖北,4,27/05/2020 01:44,1,MA,G
31,Hz8EjrViS,"但是李子说的是普遍情况，不是特殊行业，特殊需求。大部分情况下，社会并没有给男女相同的机会。很多领导明明在实际工作中非常倚仗女性下属，但在各种场合都会说女性不行，要带孩子，要请假，搬不动东西。。麻烦死了。招聘时，没结婚担心你将来要结婚、要请产假，结了婚的又担心会为了孩子不停请假。,不知道之前是不是还有什么讨论。但就这条来说，觉得你们说的不没盾。有些行业是有特殊要求的，不能为了形式上的平等，而忽略实际需求。比如餐饮、幼儿教育的从业人员必须有健康证，但我们不能说这个是在歧视肺结核病患。性别也一样。",女,江苏,0,16/06/2019 10:45,1,SCB,G
32,IERJNbk9o,他是真的太不会说话。不过可能竞技运动之类的人都这样，自己在自己的小世界里。但是我觉得柯洁微博已经成了仇女集中营了,女,山东,0,25/04/2020 00:52,1,MA,G
33,J6OSAdvx8,我觉得女权在一定程度上就是“平权”，当时也对女权要不要叫“女权”产生过争议（因为觉得叫“女权”听起来很aggressive），但我现在就⬇️,女,其他,0,16/06/2020 01:44,1,MA,G
34,IBVbZ50Ci,"我体不体谅，我女友最清楚。我做好了自己该做的，她做好了她该做的。在我看来她就是一个讲女权，并且真的把女权落在实处的女生。王医生独立，收入高，学历高等等我都承认，但她这种错误的言论就是在阻止女性平权运动。倘若真的平权，就不应该说出这篇微博里这么多功利的行为。,人活在世上本来就有很多的不平等，只有自己抗争才对，自怨自艾，如同祥林嫂一般，于事也是无益吧。更何况现在王医生在教唆有损婚姻的事情，走的有哪里是平权与抗争？,体谅是该体谅，我说的平权也只是理论上的，事实上男性在生活中应该也会承担更多。但是谁也没法把这种自愿行为，被逼迫成了理所应当吧？王医生的言论着实过激，我不能认同。,抗争，只有抗争才能争取自己的合法权益！自己不发声，不反抗，那就没有人会去推进法制的进步。,现在不光女生恐婚，我身边的男性朋友也恐。微博上女生为了维护自己的利益的过激言论，给女性贴上了物质化的标签，导致部分男生认为女生重利忘义，嫌贫爱富。我觉得就是王医生的这样类似的言论，才阻碍了女性平权。,这些就是性别歧视，就是要进行抗争的地方啊！！但同时你也要从用人单位来思考，的确很多女性，一入职就沾企业的便宜，怀孕产假一条龙，享受完国企的福利了再离职去高薪私企。,那就努力争取到平等！女性生育相关问题没法平等，只能说要求她老公对她照顾体贴，但是带孩子就可以要求男性来带了，过年大可以小家自己过，或者一年去一家，至于姓氏，一个孩子可以用父母的姓氏合在一起做复姓，两个孩子可以一边一个，这些都是解决办法啊",男,广东,0,05/04/2020 23:36,1,SCB,G
35,IBVbZ50Ci,"掌管经济是我抨击的点吗？我认可女性掌管家中财政，但绝不是转移财产。,换个男性，在婚姻中转移共同财产，你还能说是忠于婚姻的表现？有些行为，在婚姻中是错误的，即使这能为你带来个人利益，但损害了婚姻的共同利益。,我怼的不是男性女性，我怼的就是这种背离婚姻的行为！如果担心对方的人品，那就别结婚。如果想保护好自己，那就婚前协议，不清不楚的行为算什么？你说中年男性干的垃圾事儿可耻，那现在她做的事情就完全是对的了？值得鼓励？？,这跟她房产证加名，要了彩礼，再转移共同财产有啥关联嘛？,如果层主出轨了呢？男性的权益谁来保护呢？所以应当签订婚前协议，谁是过失方谁就净身出户，而不是这样子转移共同财产。,自己阅读层主的话，一结婚就一步步，你看像是啥意思？",男,广东,0,05/04/2020 21:32,1,SCB,G
36,IBVbZ50Ci,我的逻辑里，男性奋斗可不仅仅是为了自己。正如女性生育也不仅仅是为了男性。,男,广东,2,05/04/2020 17:50,1,SCB,G
37,ID26le0w3,“因为越是有着强烈贞操观念的女孩子越无法接受自己是被强暴的事实，和房思琪一样，如果不爱上强暴自己的人，她就再没有活下去的理由。”,女,其他,197,12/04/2020 23:27,1,SCB,G
38,J4rrW9GNf,我还看到一个百事256的说自己是女权的，最近在力挺川美侵台军宅，和粉红互动得可欢了呢。,女,其他,2,31/05/2020 10:27,1,MA,I
39,IBVbZ50Ci,我认识3个不婚男，反婚男，一般三个月到半年换个女朋友。生活乐无边。,男,浙江,0,09/04/2020 13:49,1,MA,G
40,J6XmQqUDz,我好想知道怎么让社会体制变得更加公平 有时候即使劝服了部分人 权力运行本身还是会将女性推至不利地位,女,海外,2,16/06/2020 23:47,1,SCB,G
41,J3aC7xMdx,我以为看过围城的多少会觉得里面的男性角色普遍更“讨厌”呢,女,海外,0,23/05/2020 02:41,1,MA,G
42,IBVbZ50Ci,还是看个人了，身边有女博士快40不结婚的，也有女同事丁克的，也有女同事生两个的，,女,福建,0,05/04/2020 17:15,1,SCB,G
43,J4n5FkvbD,"以及一些嘲人家铁T还妄图将之正义化的gay，当之无愧死基佬,我这条po就是在内涵一个贵一学姐，一天天羊水宝拥趸女权斗士追着玟星喊帅哥现在嘲人家铁T女团。真的有够双标",男,海外,1,31/05/2020 00:10,1,MA,G
44,GnkLghrfD,"大部分时候别人都不喜欢听真话，反而愿意听一些虚伪的东西，现在的社会 呵呵,可以让男人硬起来",男,其他,0,28/06/2018 11:03,1,MA,G
45,HqsHfaCLU,我反而理解不了郑秀文原谅许志安，奶茶嘛，钱和利益肯定比感情更牢固,女,四川,3,20/04/2019 09:21,1,MA,I
46,J2nCKqAKC,可以理解love is love，同性恋无所谓爱喜欢谁喜欢谁，但，你要承担相应的结果。喜欢同性就必然没有孩子，别说权利，是你自己剥夺了所谓的权利。通过代孕和骗婚达成目的未免太恶心了点。,女,北京,2,18/05/2020 13:12,1,MA,G
47,FiWGNv7on,"这种心态其实就是人的常态啊，希望借助她人帮她改成自己想要的。这就有点像在我国jc处理家暴，接警后把男的抓走，然后女的就开始撒泼了。我始终记得一句话就是，哎呀，我就只是希望你们让他改好就行了,嘛，因为原po在这方面的描述有缺失啦。我个人是认为双方见过父母，可能在相处过程中已经在考虑结婚了。虽然有些话难听，但是婚姻真的就是家庭的事了，养猫可以，但是结婚后就要考虑很多事情，再只顾虑自己就真的是自私了。其实这男的就应该和女方说清楚，真的没法接受就别处了。而不是网上来求助,对啊。明明是三观不一致，偏偏硬要分个三六九，讲真不养猫狗的人不懂这些不是很正常吗。我妈也觉得猫狗随便养养就好了，这纯粹就只是观念问题啊，在我看来很正常啊，我只觉得评论很可怕，我是讨厌结婚啦。但是微博上这种女人结婚就是失败，在家生孩子带孩子就是失败的观念到底是咋想的",男,福建,0,27/08/2017 01:05,1,SCB,G
48,IBVbZ50Ci,"嗯，男女都有发声的权力，“仇女”和“厌男”都不是可取的，有这些现象说明离平权还很远，不过也难怪，因为一直以来女性是被压迫的，有过激行为也是一种社会现象，但你的言论倒是还算理智和客观。,我一直支持男女平权，作为女性，也完全经济独立并时刻维护自己的权力，并为随处可见的不公而发表意见出声，但我不觉得你说的有什么不好的，事实上，女权运动的本质从来都是平等而不是反压迫，更不是把女权换成当初的男权，如果那样那就是矫枉过正更是对自己性别的自卑和不自信。",女,江苏,0,05/04/2020 18:25,1,SCB,G
49,ICFZArIkN,"白人的美洲移民及日本移民东北的开拓团也是类似性质的侵略集团。扩张战争是国家组织导的种族扩张，而大规模移民则是自发的，潜意识的种族扩张。其结果同样是占领新的土地，繁衍自己的人口，摧毁别人的文明，扩张自己的文明。黑绿移民潮，所做的事和纳粹德国并没有区别。甚至不费一枪一弹。,是的。一个哺乳动物，想生育不是本能吗？况且生育是男女共同的责任，涉及养老、经济、民族生存与扩张。欧洲就是只强调个人的权利而反对一切集体加诸个人的责任。,我爱中国女性。创造人口是整个民族所有个体的责任，不分男女。无论是从养老的角度，经济可持续发展的角度，还是从族群扩张的角度。我只是反对女权当中的逆向民族主义倾向。就类似于欧洲的，只要权利不要责任，一边反婚反育，一边反对养老金改革，一边诅咒老年人快点死。必然造成黑绿种族入侵，文明崩塌",男,广东,0,22/04/2020 12:27,1,SCB,G
50,HxEJw1Fvq,因为女性经常处于弱势地位所以才有额外保护啊。不过我觉得中国最不平等的一个就是彩礼文化，还有男方买房文化。自己物化自己,女,海外,4,07/06/2019 05:20,1,SCB,G
51,ID26le0w3,完全同意，不让自己爱上就没有活下去的理由，但是又是强迫自己爱上这个令人作呕的男人。这个强迫背后的恨与痛苦，和不得已的爱才会造成星星情绪的反复不定和精神的纹乱！归根到底，都是鲍某精心设计，私欲发泄，权利控制的结果！,女,其他,1,13/04/2020 00:27,1,MA,I
52,GpJrTcVW4,我觉得拎不清追求和性骚扰的直男，去体验一下被不喜欢的人纠缠不休就能分的清了,男,北京,0,13/07/2018 20:26,1,MA,G
53,Gs0146xAu,男同事对我说路边开的树有一股精液的味道，我说你说错了，这是臭椿，有怪味的是石楠,女,北京,3,30/07/2018 18:32,1,MA,G
54,IAifa6B01,"算了，再不说了，跟你在这说，我浪费了好半天时间。不管怎么样也改变不了事实。至于事实是啥样我也不知道，当年的事情已经过去了，再说已经没有意义了。,你这种消息应该很内幕啊，应该不会轻易被透出来的，就算欧美那边被透露出来，应该也不会传到大陆这边，而且我经常上外网也从来没有看到过这个消息，你在哪里看到的呀？,这些东西，本来就是欧美国家，我们这边是全靠媒体报道什么的，谁都不知道真实的内幕。至于你说的墙头草这个事，我也不知道是哪来的，我也从来没有听说过,wa说🍵可以，但是不要拿那些子虚乌有的事来说，现在关键就是，WA说茶公开谴责，🍵从来没有公开说过wa的不好,说他几句是没有问题，但是这个话根本就不属实啊，真的从来没有公开谴责过，关键就是这个“公开”说的很过呀",女,其他,0,26/03/2020 14:18,1,MA,I
55,J3r1iD8Ef,"男女不平等的根本确实是女性先天的生理性弱势导致的，真正意义上的平等也确实不可能，那就意味着要有一方为此承担更多。突然想到了红色药丸，说到底还是掌权者的问题……他们没有承担该承担的，于是压力施加在了整个男性群体身上，这种不满大概也是导致性别歧视的一个问题,看到一条评论说，在一方明显强于另一方的情况下，跳出来说要平等，不觉得这种中立很搞笑吗。我是真的觉得有点搞笑",女,其他,0,24/05/2020 21:07,1,SCB,G
56,HwY8orENo,对于女性在工作生活中受到的歧视，我想大部分人都会给予谴责， 可问题是现在所谓的“平权”，更像是msl一般，温和的女权希望可以通过理智的方式让大众支持女性平权，问题是激进极端的田园女权，它们希望“不平等”到“平等”再到“特权”，,男,山东,1,02/06/2019 08:51,1,MA,G
57,IAvQgCR0D,"在不了解真相的时候随波逐流盲目战队难道没错？？？metoo从平权运动变成witchhunt不就是因为他这样的艺人？？yxh因为🍵有流量所以把他单拎出来而已，老爷子写了整整一本书我就不信他单说了🍵一个人,他公开站metoo还捐片酬老爷子肯定觉得他在跟自己划清界限啊…这么有名的大导演因为一个莫须有的罪名被自己选中的新人演员捅刀子肯定是不乐意的吧…而且wa也没有很难为他 都说不后悔合作了",女,海外,1,28/03/2020 08:55,1,MA,I
58,GrH0edfWS,太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割,女,江西,3,27/07/2018 21:55,1,SO,I
59,G6AiAjLnh,中国教授对女学生性骚扰的就多了，结果后来还是一个个活的好好的,女,四川,0,11/03/2018 15:08,1,MA,G
60,HqsHfaCLU,看哭了，可怜的姑娘，典型的亚洲人强权压迫下的帮凶及所谓的导师，都是披着人皮的畜生！,女,陕西,41,20/04/2019 09:24,1,MA,G
61,J2dPr6MUr,粉圈都有只花钱、做数据、做周边的中立核心派，用来放出去咬人的疯狗派，事后收场甩锅装白莲的圣母派。女权也有对男人重拳出击的，对女人循循善诱的。这怎么了嘛。就希望她们不要再内耗撕逼了，婚女单女，不舔男权的都是好女。,男,新疆,0,16/05/2020 20:02,1,MA,G
62,J4B0Mps5Q,为何压迫剥削是人类的天性呢？动物也吃动物啊，动物的天性也是剥削吗？动物压迫同类吗？人类压迫同类的话，男人压迫女人，女人也压迫男人吗？如果不是，女人有压迫的天性吗？还是女人不算人呢？,女,其他,15,01/06/2020 12:49,1,MA,G
63,HAII3j42z,"正因为不是爱情才弥足珍贵吧，多少还是有点出自这么个想法,去掉男女偏见歧视这些东西，能互相理解在我这里是第一位，所以写的足够好，足够真，就和性别无关了,女化，被当做受，是对某角色的一种低劣化，这观点出自于什么非常明显，还有像是很不zzzq的认为男性和男性的感情更高更真，只有男性才能配得上男性，这样的，特明显的男尊女卑思想，不过也有就是男性和女性之间必不可能相互理解这个没那么那啥的原因在,对，我自己不行，当我自己被这些规定住时，当我被性别鄙夷时，我就又开始极端不适了，我是不打算谈恋爱也不打算结婚生子的，喜欢的东西有些是“男孩子喜欢的东西”（且我为此沾沾自喜，哈，对男性的尊崇由此可见一斑），所以我脑内继续着那一套男尊女卑，说着确实性别平等,正是因为我觉得女性不行，我才会对这些言论如此敏感，因为我，不愿被鄙视，不愿被视作下等，仅此而已,就我，应该算有点男权或者大男子主义？啊听起来挺奇怪也不太好形容但确实往里头分析真的是这样，我的恐男也是出自于这种脑内已经形成的男女的阶级制度，这种东西显然是很男性主义的。",男,安徽,0,26/06/2019 20:28,1,SCB,G
