weibo_id,weibo_text,keyword,user_gender,user_location,user_following,user_follower,weibo_like,weibo_repost,weibo_comment,weibo_date
J1zF7smOR,这两天，看到首页的几个大咖在讨论“田园女权”，讲真，我不清楚什么是田园女权以前听过，但没深入了解过。看了一些截图言论后，算是知道了。我身边一些过得好，家庭幸福，夫妻和睦的朋友，她们都不知道什么是“田园女权”，也没想去了解。遇到喜欢的男孩，想一起生活，就去结婚；想要个孩子，那就生一个。孩子出生了，自己能带就带，不能带就请长辈帮忙。两夫妻努力工作，买房买车去旅游。谁累了就少干点家务，谁加班晚了，就不用刷碗。👏很正常地过日子，也没有谁把彩礼、子宫、生育权、冠名权这些词整天挂嘴上，她们不一样幸福地生活？🌈我希望未婚的妹妹可以看看我们，看看过得幸福的姐姐们，是怎样的生活状态。🌈结婚是和喜欢的男人搭档合伙过日子，过得好的大有人在。不要把男人想象成假想敌，要当成合伙人，共同经营生活，各善其职。如果不合适，就分开换人过，不要觉得所有男性都坏，所有女性都吃亏。我只是个拥有平平无奇幸福婚姻的女性，没办法理解田园女权，不要来杠我。 ,女权,女,广东,1737,1712050,989,62,115,12/05/2020 13:42
GvXf0ymdJ,【好莱坞女星性侵17岁男星，付38万美元封口费，曾举报哈维·韦恩斯坦性侵】《纽约时报》8月19日披露，好莱坞女星Asia Argento（艾莎·阿基多）曾于2013年性侵当时17岁的男演员Jimmy Bennett，并试图支付38万美元的封口费。Asia是最早公开指证哈维·韦恩斯坦性侵的女演员之一，被视为MeToo运动的领袖。http://t.cn/RkOwdBa ,,女,北京,343,4314049,539,69,158,23/08/2018 12:40
J2XeR8rPn,“姨味” 怎么讲，挺恶意满满的一个词。形容一个男性“姨”，背后仍然是一种不被察觉的性别歧视和厌女的潜意识。只不过把从前的“娘娘腔””娘”“母”变成了现在的“姨”，换汤不换药，还是老味道。而形容一个女孩有姨味，更是性别+年龄+性魅力的三重羞辱。无法欣赏其他年龄层更丰富的美与魅力，把看起来稍微成熟风情一点的女性污名化为“姨”，本质上仍是一种虚弱的年龄恐惧。但每一个称呼别人“姨”的人，总有一天自己也会变成真正的阿姨，但远在那一天尚未到来之前，他们早就被称呼为“姨”了。在对“姨”污名化的过程里，每一个助纣为虐的人都将自食恶果。 ,厌女,女,浙江,598,850691,255,11,37,21/05/2020 15:33
IxpfTCMAo,控评就没意思了，你们讨厌木大妈不允许有任何不同意见，但事实上我也觉得你们很无聊，针对她哪里不好也说不出一个所以然，无非来回就那两句说她太强势、只羞辱婚女不骂婚男，但是她做的一切明明就很女权啊，你们的理由也太不充分了。整天煽动别人跟着你一起讨厌她，这种做法真的很奇葩，想不明白反婚女权内部怎么会有这种搞分裂的人。觉得她骂婚女就是厌女，你们骂一个准备单身生育的极端女权难道不是潜意识的厌女吗？？当然了因为我觉得木大妈没问题而双取这种做法，我最多就是惊讶一下，但无所谓，哦原来也就这样而已呵呵。还有些人拿[去中心化]来说事，我从来没把任何一个女权博主当作中心，虽然我很喜欢yangxinshu，我也喜欢木大妈，我还喜欢林毛毛，但我不是她们的粉丝，在女权这方面，我觉得大家都是平等交流的，我为木大妈说话，就跟为别的女权姐妹说话一样，并不是因为她是所谓的思想中心。 ,"厌女,女权",女,其他,295,4196,1197,71,100,06/03/2020 23:18
J4B0Mps5Q,白人警察可以和黑人兄弟一起携手抗议，但很难想象女权运动时任何肤色的男性会如此这般站在女性这边。尽管很多人联合起来的出发点是出于普世价值，实际本质上黑人权益平等运动的成功并不会直接妨碍到白人的利益。黑人取得平等受教育权工作权等一系列权益后反而会改善社会环境，最终是共赢局面。但女权运动在父权眼里绝不是共赢，而是零和局面。不论女权主义者们如何向世人阐述我们理想中的世界有多么平等，男性如何能从父权制度中解脱获得真正自由，这种理念并不能传达到他们心中。几乎人手一女奴的世界，你跟我谈释放女奴即解放奴隶主？你要剥夺他们做父的权利，在他们眼里如何共赢？南方种植园的奴隶主们不肯放黑奴自由才有了南北战争，假如北方白人也人手一黑奴，局面会变成现在这样吗？而黑奴与女奴的根本不同在于后者可榨取的价值是前者的千万倍。可从女奴身上抢后代这一条就抵得过劳动力剥削、性剥削的总和。如果女权运动继续套用黑人民权运动的模式，即照着父权认可的共赢局面去努力，最终也就到改良婚姻制为止了。想要同奴隶主合作，最终也就在合同条款的修改里打转，主动权始终在奴隶主手上。要结束这个游戏只有撕毁合同这一条路。只要全世界有超过一半女人不再走入婚姻，不再产父权之后代，父权早就分崩离析。白人警察可为黑人卸甲，任何肤色的男人却不可能为女权不要妻不要子放弃作父的权利。没有大范围反婚视角的女权运动，不知还要在改良游戏里轮回多久。 ,女权,女,其他,427,17319,2121,624,67,01/06/2020 10:39
Iv3BGpYYh,"今日英语课。老师给例句的时候说了一句""He is a feminist.""有人发文He？有人谈女拳。有点意外，参与讨论的居然都是男生。我们生活中有多少女权主义者，我想大概不在少数。不论性别，我的同龄人或多或少都表现出两性平等的倾向，但并不代表这个世界是这样。结合时事，女性的社会地位，薪酬都亟待提高，但背后，是我们作为""人""，不仅是女性，每个人类的权益是否得到认同与尊重。我们的文明大都在男权社会中产生(此处排除某些母系氏族情况)，一直以来男女两方一直在对立面，所以才会有""女权""这个看似尖锐的事物产生。各类人对于平权的呼声渐大，但女权也不免在各类解读中妖魔化，才有田园女权，女拳主义。在女权呼声甚高的今天，还是有人不了解，甚至误解。我向来不认为有哪一种人存在天生奉献，生来卑微这样的特质，更反对生来优越。没有哪一种性别该做什么事，只要做的是人事就都是好事。当然，也没有任何金科玉律可以规定女权主义者一定要做什么不做什么。女权即丁克女权即独身其实很stupid。女权男权其实都不必存在。希望有一天我们振臂高呼，只提人权。没有差别，没有特殊，即是平等。(各截图数字标号代表各人) [组图共3张] 原图 ",女权,女,广东,260,90,3,0,2,20/02/2020 12:30
I0lrrwYk1,反正已经掺和了，也不怕再惹得一身骚了。整个事儿里面，那些田园女权，那些杠精，他们，只不过都是被人利用来搞了话题度，这叫蠢。那个拍了这个照片，然后利用这个照片制造了这个话题的人，心里明白现在微博的风气是怎样的，照片发出来必定引起舆论风波，这叫坏。同情前者，鄙视后者。#郎朗没帮老婆拿行李# [组图共2张] 原图 ,女权,男,其他,1073,2032066,7209,93,476,02/08/2019 12:55
Fq0uZhLsx,有位网友问：“美国女人结婚为什么要随夫姓？”结婚后女性改随夫姓是美国人的传统，虽然随着女权运动的兴起不少女性纷纷坚持婚后不改姓，但婚后随夫姓目前在社会上依然占主流地位。《纽约时报》根据谷歌的一项调查发现，将近八成的女性第一次结婚时改随夫姓。从历史上看，女性婚后随夫姓的传统来源于信仰，同时得到法律的规范。对于现代美国社会大多数女性依然坚持传统，婚后改随夫姓的原因社会学家有不少解释，最主要的原因还是传统影响的根深蒂固，表象之一是女性婚后坚持用自己的姓面临的社会压力较大。 http://t.cn/ROSze2z ,女权,男,北京,535,2873046,104,112,266,12/10/2017 11:11
GCna42DUe,【C罗强奸案女方律师：是MeToo运动给予了马约尔发声的勇气】周三，在C罗性侵案受害者马约尔方举行的新闻发布会上，她的律师 Leslie Stovall 在会上表示：“是MeToo运动和那些站出来揭露性侵犯的女性给予了马约尔挺身而出发声的勇气。”而马约尔方面的另一名律师Larissa Drohobyczer透露，马约尔在经历性侵犯之后得了抑郁症并考虑过自杀，并表示：“在2017年有记者联系过马约尔，询问了关于2009年C罗性侵犯的更多信息。”“当时，马约尔的情绪很低落，也很害怕。自2009年遭受性侵以来，她经历了抑郁、浸入性想法以及自杀等，难以维持个人交际关系以及参加工作。”在发布会上，Drohobyczer律师还概述了一些案件的具体细节，并表示已经传票和诉状发给C罗，而C罗方面有二十天的时间来申诉。 原图 ,,女,上海,1503,6232615,51,20,170,04/10/2018 17:41
IAifa6B01,#伍迪·艾伦自传谈合作过的演员# 援引《Page Six》报道，伍迪·艾伦在新出版的回忆录《突如其来》中，谈及了自己曾合作过的一些演员。在MeToo运动中，伍迪的女儿迪伦·法罗再次指控伍迪曾在其幼年时性侵过她，蒂莫西·柴勒梅德当时宣布将[纽约的一个雨天]的收入捐赠给非营利组织Time’s Up、纽约LGBT中心、反性侵组织RAINN。伍迪在《突如其来》中声称，蒂莫西做出这样的声明是因为他凭借[请以你的名字呼唤我]提名了奥斯卡最佳男主角。伍迪表示，“[纽约的一个雨天]的三位主演都非常出色，和他们合作都非常开心。蒂莫西后来公开表示，他后悔与我合作，并把收入捐给了慈善组织，但是他曾向我的妹妹发誓过，他需要这么做，因为他在为[请以你的名字呼唤我]奥斯卡公关中，他和他的经纪人都认为，如果他谴责我，他更有获胜的机会，所以他那么做了。”伍迪补充说，“无论如何，我都不后悔与他一起工作，我也没让他把钱还回来。”蒂莫西不是近几年来唯一一个与伍迪保持距离的好莱坞演员。就在蒂莫西宣布捐款三天前，[纽约的一个雨天]剧组的演员丽贝卡·豪尔也表示将把她的收入捐赠给了Time’s Up组织。由于34岁的迪伦更新了对伍迪的指控，包括格蕾塔·葛韦格、米拉·索维诺、科林·费斯、迈克尔·凯恩、迈克尔·凯恩、杰夫·丹尼尔斯、芙蕾达·平托在内的演员都公开谴责伍迪。伍迪在书中还表示，“事实是这些演员们从来没有浏览过这起案子的细节(他们并不能得到如此确定的结论)，这也无法阻止他们以顽强的信念来公开发表言论。有人说，现在他们的原则就是一贯相信女性，我希望大多数有思想的人都拒绝这种简单的想法。”然而，在这本书中，伍迪也指出了为他辩护的人，包括亚历克·鲍德温、斯嘉丽·约翰逊、黛安·基顿、哈维尔·巴登、乔·贝哈。“更多的人应该说，我真的不知道所有事实，所以我不得不保留自己的判断。上帝禁止任何人这样说：‘这项指控已经被全面调查过了，发现并不是事实。’但是感谢所有(为我辩护)的人，因为他们能这样说出来真的很好。我向他们保证，这绝对不会是让他们感到尴尬的事情。”在这部由拱廊出版公司在周一出版的回忆录中，伍迪详尽地讲述了他与妻子宋宜·普列文的关系，并对前任米亚·法罗提出了新的看法。  [组图共2张][图片] ,,男,北京,526,14389120,1474,398,242,25/03/2020 22:57
